sncb_stream$start:UINT64,sncb_stream$end:UINT64,sncb_stream$cnt:UINT64
1722520000,1722525000,1071
1722525000,1722530000,1112
1722530000,1722535000,1164
1722535000,1722540000,1055
1722540000,1722545000,1130
1722545000,1722550000,1182
1722550000,1722555000,1223
1722555000,1722560000,1095
1722560000,1722565000,1031
1722565000,1722570000,1054
1722570000,1722575000,931
1722575000,1722580000,1042
1722580000,1722585000,1046
1722585000,1722590000,1148
1722590000,1722595000,1073
1722595000,1722600000,1204
1722600000,1722605000,1151
1722605000,1722610000,1065
1722610000,1722615000,1163
1722615000,1722620000,1081
1722620000,1722625000,1062
1722625000,1722630000,102
1722630000,1722635000,378
1722635000,1722640000,957
1722640000,1722645000,996
1722645000,1722650000,1064
1722650000,1722655000,1231
1722655000,1722660000,1168
1722660000,1722665000,1096
1722665000,1722670000,1094
1722670000,1722675000,1197
1722675000,1722680000,1107
1722680000,1722685000,1198
1722685000,1722690000,1289
1722690000,1722695000,1127
1722695000,1722700000,1163
1722700000,1722705000,1077
1722705000,1722710000,1078
1722710000,1722715000,1137
1722715000,1722720000,1141
1722720000,1722725000,1124
1722725000,1722730000,949
1722730000,1722735000,1128
1722735000,1722740000,1264
1722740000,1722745000,1205
1722745000,1722750000,1210
1722750000,1722755000,1117
1722755000,1722760000,1055
1722760000,1722765000,1210
1722765000,1722770000,1100
1722770000,1722775000,1053
1722775000,1722780000,1259
1722780000,1722785000,1193
1722785000,1722790000,1200
1722790000,1722795000,1259
1722795000,1722800000,1091
1722800000,1722805000,1077
1722805000,1722810000,1166
1722810000,1722815000,1127
1722815000,1722820000,1149
1722820000,1722825000,1207
1722825000,1722830000,1086
1722830000,1722835000,1122
1722835000,1722840000,1093
1722840000,1722845000,1088
1722845000,1722850000,1168
1722850000,1722855000,1051
1722855000,1722860000,950
1722860000,1722865000,428
1722865000,1722870000,472
1722870000,1722875000,1041
1722875000,1722880000,1194
1722880000,1722885000,1176
1722885000,1722890000,1126
1722890000,1722895000,1163
1722895000,1722900000,1094
1722900000,1722905000,1026
1722905000,1722910000,1124
1722910000,1722915000,1226
1722915000,1722920000,1184
1722920000,1722925000,1088
1722925000,1722930000,998
1722930000,1722935000,1179
1722935000,1722940000,264
1722940000,1722945000,95
1722945000,1722950000,497
1722950000,1722955000,1189
1722955000,1722960000,1052
1722960000,1722965000,1089
1722965000,1722970000,1129
1722970000,1722975000,1199
1722975000,1722980000,1233
1722980000,1722985000,1206
1722985000,1722990000,1059
1722990000,1722995000,1064
1722995000,1723000000,1139
1723000000,1723005000,1202
1723005000,1723010000,1197
1723010000,1723015000,1112
1723015000,1723020000,1086
1723020000,1723025000,1124
1723025000,1723030000,1072
1723030000,1723035000,1215
1723035000,1723040000,991
1723040000,1723045000,1092
1723045000,1723050000,1197
1723050000,1723055000,1088
1723055000,1723060000,1077
1723060000,1723065000,1069
1723065000,1723070000,1038
1723070000,1723075000,1186
1723075000,1723080000,1094
1723080000,1723085000,1139
1723085000,1723090000,1103
1723090000,1723095000,1132
1723095000,1723100000,1116
1723100000,1723105000,1035
1723105000,1723110000,1042
1723110000,1723115000,1101
1723115000,1723120000,1085
1723120000,1723125000,1166
1723125000,1723130000,1165
1723130000,1723135000,1166
1723135000,1723140000,1138
1723140000,1723145000,1132
1723145000,1723150000,1166
