sncb_stream$start:UINT64,sncb_stream$end:UINT64,sncb_stream$varBP:FLOAT64,sncb_stream$varFF:FLOAT64,sncb_stream$cnt:UINT64
1722510600,1722520600,0.742,1.957,31
1722510400,1722520400,0.57,1.447,2
1722510800,1722520800,5.051,5.021,68
1722511200,1722521200,5.051,5.021,137
1722511000,1722521000,5.051,5.021,108
1722511600,1722521600,5.051,5.021,219
1722511400,1722521400,5.051,5.021,169
1722511800,1722521800,5.051,5.021,267
1722512000,1722522000,5.051,5.021,312
1722512200,1722522200,5.051,5.021,345
1722512400,1722522400,5.388,5.021,370
1722512600,1722522600,5.388,5.021,415
1722512800,1722522800,5.388,5.021,458
1722513000,1722523000,5.388,5.021,507
1722513200,1722523200,5.388,5.021,562
1722513400,1722523400,5.388,5.021,615
1722513600,1722523600,5.388,5.021,667
1722513800,1722523800,5.388,5.021,713
1722514000,1722524000,5.388,5.021,760
1722514200,1722524200,5.388,5.021,802
1722514400,1722524400,5.388,5.021,837
1722514600,1722524600,5.388,5.021,889
1722514800,1722524800,5.388,5.021,940
1722515000,1722525000,5.388,5.021,992
1722515200,1722525200,5.388,5.021,1037
1722515400,1722525400,5.388,5.021,1074
1722515600,1722525600,5.388,5.021,1114
1722515800,1722525800,5.388,5.021,1146
1722516000,1722526000,5.388,5.021,1182
1722516200,1722526200,5.388,5.021,1231
1722516400,1722526400,5.388,5.021,1284
1722516600,1722526600,5.388,5.021,1342
1722516800,1722526800,5.388,5.021,1399
1722517000,1722527000,5.388,5.021,1450
1722517200,1722527200,5.388,5.021,1499
1722517400,1722527400,5.388,5.021,1549
1722517600,1722527600,5.388,5.021,1586
1722517800,1722527800,5.388,5.021,1628
1722518200,1722528200,5.388,5.021,1727
1722518000,1722528000,5.388,5.021,1669
1722518400,1722528400,5.388,5.021,1765
1722518600,1722528600,5.388,5.021,1809
1722518800,1722528800,5.388,5.021,1856
1722519000,1722529000,5.388,5.021,1907
1722519200,1722529200,5.388,5.036,1951
1722519400,1722529400,5.388,5.036,1983
1722519600,1722529600,5.388,5.036,2023
1722519800,1722529800,5.388,5.036,2057
1722520000,1722530000,5.388,5.036,2082
1722520200,1722530200,5.388,5.036,2110
1722520400,1722530400,5.388,5.036,2151
1722520600,1722530600,5.388,5.036,2151
1722520800,1722530800,5.388,5.036,2148
1722521000,1722531000,5.388,5.036,2159
1722521200,1722531200,5.388,5.036,2153
1722521400,1722531400,5.388,5.036,2141
1722521600,1722531600,5.388,5.036,2121
1722521800,1722531800,5.388,5.036,2092
1722522000,1722532000,5.388,5.036,2065
1722522200,1722532200,5.388,5.036,2056
1722522400,1722532400,5.377,5.036,2049
1722522800,1722532800,5.377,5.036,2003
1722523000,1722533000,5.377,5.036,1977
1722523200,1722533200,5.377,5.036,1942
1722522600,1722532600,5.377,5.036,2016
1722523400,1722533400,5.377,5.036,1920
1722523600,1722533600,5.377,5.036,1895
1722523800,1722533800,5.377,5.036,1870
1722524000,1722534000,5.377,5.036,1847
1722524400,1722534400,5.377,5.036,1826
1722524200,1722534200,5.377,5.036,1825
1722524600,1722534600,5.377,5.036,1814
1722524800,1722534800,5.377,5.036,1787
1722525000,1722535000,5.377,5.036,1761
1722525200,1722535200,5.377,5.036,1737
1722525600,1722535600,5.377,5.036,1715
1722525800,1722535800,5.377,5.036,1710
1722525400,1722535400,5.377,5.036,1726
1722526000,1722536000,5.377,5.036,1714
1722526200,1722536200,5.377,5.036,1714
1722526400,1722536400,5.377,5.036,1714
1722526600,1722536600,5.077,5.036,1700
1722526800,1722536800,5.066,5.036,1683
1722527000,1722537000,5.066,5.036,1682
1722527200,1722537200,5.066,5.036,1663
1722527400,1722537400,5.066,5.036,1647
1722527800,1722537800,5.066,5.036,1644
1722527600,1722537600,5.066,5.036,1653
1722528200,1722538200,5.066,5.036,1628
1722528000,1722538000,5.066,5.036,1644
1722528600,1722538600,5.066,5.036,1643
1722528800,1722538800,5.066,5.036,1631
1722528400,1722538400,5.066,5.036,1637
1722529000,1722539000,5.066,5.036,1606
1722529200,1722539200,5.066,5.036,1596
1722529400,1722539400,5.066,5.036,1611
1722529600,1722539600,5.066,5.036,1618
1722529800,1722539800,5.066,5.036,1640
1722530000,1722540000,5.066,5.036,1670
1722530200,1722540200,5.066,5.036,1686
1722530400,1722540400,5.377,5.036,1696
1722530600,1722540600,5.385,5.036,1723
1722530800,1722540800,5.385,5.036,1740
1722531000,1722541000,5.385,5.036,1738
1722531200,1722541200,5.385,5.036,1772
1722531400,1722541400,5.385,5.036,1802
1722531600,1722541600,5.385,5.036,1813
1722531800,1722541800,5.385,5.036,1834
1722532000,1722542000,5.385,5.036,1856
1722532200,1722542200,5.385,5.036,1869
1722532400,1722542400,5.385,5.036,1893
1722532600,1722542600,5.385,5.036,1918
1722532800,1722542800,5.385,5.036,1934
1722533000,1722543000,5.385,5.036,1948
1722533200,1722543200,5.385,5.036,1967
1722533400,1722543400,5.385,5.036,1988
1722533600,1722543600,5.385,5.036,2005
1722533800,1722543800,5.385,5.036,2024
1722534000,1722544000,5.385,5.04,2045
1722534200,1722544200,5.385,5.04,2070
1722534400,1722544400,5.385,5.04,2080
1722534600,1722544600,5.385,5.04,2084
1722534800,1722544800,5.385,5.04,2099
1722535000,1722545000,5.385,5.04,2129
1722535200,1722545200,5.385,5.04,2156
1722535400,1722545400,5.385,5.04,2168
1722535600,1722545600,5.385,5.04,2190
1722536000,1722546000,5.385,5.04,2190
1722535800,1722545800,5.385,5.04,2197
1722536200,1722546200,5.385,5.04,2191
1722536400,1722546400,5.385,5.04,2158
1722536600,1722546600,5.385,5.04,2133
1722537000,1722547000,5.385,5.04,2112
