sncb_stream$start:UINT64,sncb_stream$end:UINT64,sncb_stream$trajectory:VARSIZED
1722502000,1722522000,BINARY(79)
1722504000,1722524000,BINARY(79)
1722506000,1722526000,BINARY(79)
1722508000,1722528000,BINARY(79)
1722510000,1722530000,BINARY(101)
1722512000,1722532000,BINARY(279)
1722514000,1722534000,BINARY(528)
1722516000,1722536000,BINARY(650)
1722520000,1722540000,BINARY(650)
1722522000,1722542000,BINARY(571)
1722518000,1722538000,BINARY(650)
1722526000,1722546000,BINARY(603)
1722524000,1722544000,BINARY(571)
1722528000,1722548000,BINARY(737)
1722530000,1722550000,BINARY(762)
1722532000,1722552000,BINARY(584)
1722534000,1722554000,BINARY(335)
1722540000,1722560000,BINARY(213)
1722536000,1722556000,BINARY(213)
1722538000,1722558000,BINARY(213)
1722544000,1722564000,BINARY(213)
1722542000,1722562000,BINARY(213)
1722546000,1722566000,BINARY(181)
1722548000,1722568000,BINARY(81)
1722550000,1722570000,BINARY(164)
1722552000,1722572000,BINARY(282)
1722556000,1722576000,BINARY(282)
1722554000,1722574000,BINARY(282)
1722558000,1722578000,BINARY(282)
1722560000,1722580000,BINARY(282)
1722562000,1722582000,BINARY(316)
1722564000,1722584000,BINARY(473)
1722566000,1722586000,BINARY(663)
1722568000,1722588000,BINARY(755)
1722570000,1722590000,BINARY(640)
1722574000,1722594000,BINARY(522)
1722576000,1722596000,BINARY(538)
1722572000,1722592000,BINARY(522)
1722578000,1722598000,BINARY(656)
1722580000,1722600000,BINARY(799)
1722582000,1722602000,BINARY(877)
1722584000,1722604000,BINARY(823)
1722586000,1722606000,BINARY(730)
1722590000,1722610000,BINARY(617)
1722588000,1722608000,BINARY(632)
1722592000,1722612000,BINARY(745)
1722594000,1722614000,BINARY(864)
1722598000,1722618000,BINARY(805)
1722596000,1722616000,BINARY(923)
1722600000,1722620000,BINARY(689)
1722602000,1722622000,BINARY(667)
1722604000,1722624000,BINARY(671)
1722606000,1722626000,BINARY(626)
1722610000,1722630000,BINARY(598)
1722608000,1722628000,BINARY(598)
1722612000,1722632000,BINARY(470)
1722614000,1722634000,BINARY(351)
1722618000,1722638000,BINARY(276)
1722616000,1722636000,BINARY(276)
1722620000,1722640000,BINARY(249)
1722624000,1722644000,BINARY(52)
1722622000,1722642000,BINARY(159)
1722632000,1722652000,BINARY(102)
1722634000,1722654000,BINARY(241)
1722636000,1722656000,BINARY(353)
1722638000,1722658000,BINARY(491)
1722640000,1722660000,BINARY(599)
1722642000,1722662000,BINARY(731)
1722644000,1722664000,BINARY(854)
1722646000,1722666000,BINARY(956)
1722648000,1722668000,BINARY(1053)
1722650000,1722670000,BINARY(1179)
1722652000,1722672000,BINARY(1205)
1722654000,1722674000,BINARY(1176)
1722656000,1722676000,BINARY(1201)
1722658000,1722678000,BINARY(1187)
1722660000,1722680000,BINARY(1216)
1722662000,1722682000,BINARY(1204)
1722664000,1722684000,BINARY(1213)
1722666000,1722686000,BINARY(1192)
1722668000,1722688000,BINARY(1227)
1722670000,1722690000,BINARY(1232)
1722672000,1722692000,BINARY(1220)
1722674000,1722694000,BINARY(1255)
1722676000,1722696000,BINARY(1243)
1722678000,1722698000,BINARY(1250)
1722680000,1722700000,BINARY(1217)
1722682000,1722702000,BINARY(1164)
1722684000,1722704000,BINARY(1104)
1722686000,1722706000,BINARY(1116)
1722688000,1722708000,BINARY(1047)
1722690000,1722710000,BINARY(1029)
1722692000,1722712000,BINARY(989)
1722694000,1722714000,BINARY(922)
1722696000,1722716000,BINARY(900)
1722698000,1722718000,BINARY(892)
1722700000,1722720000,BINARY(861)
1722702000,1722722000,BINARY(896)
1722704000,1722724000,BINARY(914)
1722706000,1722726000,BINARY(896)
1722708000,1722728000,BINARY(888)
1722710000,1722730000,BINARY(860)
1722712000,1722732000,BINARY(910)
1722714000,1722734000,BINARY(951)
1722716000,1722736000,BINARY(980)
1722718000,1722738000,BINARY(976)
1722720000,1722740000,BINARY(1041)
1722722000,1722742000,BINARY(1054)
1722724000,1722744000,BINARY(1074)
1722726000,1722746000,BINARY(1086)
1722728000,1722748000,BINARY(1156)
1722730000,1722750000,BINARY(1194)
1722732000,1722752000,BINARY(1185)
1722734000,1722754000,BINARY(1204)
1722736000,1722756000,BINARY(1184)
1722738000,1722758000,BINARY(1163)
1722740000,1722760000,BINARY(1141)
1722742000,1722762000,BINARY(1163)
1722744000,1722764000,BINARY(1168)
1722746000,1722766000,BINARY(1185)
1722748000,1722768000,BINARY(1148)
1722750000,1722770000,BINARY(1088)
1722752000,1722772000,BINARY(1038)
1722754000,1722774000,BINARY(1046)
1722756000,1722776000,BINARY(1055)
1722758000,1722778000,BINARY(1088)
1722760000,1722780000,BINARY(1097)
1722762000,1722782000,BINARY(1084)
1722764000,1722784000,BINARY(1105)
1722766000,1722786000,BINARY(1073)
1722768000,1722788000,BINARY(1124)
1722770000,1722790000,BINARY(1181)
1722772000,1722792000,BINARY(1256)
1722774000,1722794000,BINARY(1231)
1722776000,1722796000,BINARY(1258)
1722778000,1722798000,BINARY(1246)
1722780000,1722800000,BINARY(1269)
1722782000,1722802000,BINARY(1200)
1722784000,1722804000,BINARY(1158)
1722786000,1722806000,BINARY(1135)
1722788000,1722808000,BINARY(1107)
1722790000,1722810000,BINARY(1120)
1722792000,1722812000,BINARY(1093)
1722794000,1722814000,BINARY(1089)
1722796000,1722816000,BINARY(1005)
1722798000,1722818000,BINARY(990)
1722800000,1722820000,BINARY(963)
1722802000,1722822000,BINARY(1038)
1722804000,1722824000,BINARY(1032)
1722808000,1722828000,BINARY(872)
1722806000,1722826000,BINARY(983)
1722814000,1722834000,BINARY(507)
1722810000,1722830000,BINARY(739)
1722818000,1722838000,BINARY(339)
1722816000,1722836000,BINARY(443)
1722812000,1722832000,BINARY(624)
1722820000,1722840000,BINARY(238)
1722822000,1722842000,BINARY(237)
1722824000,1722844000,BINARY(345)
1722826000,1722846000,BINARY(618)
1722828000,1722848000,BINARY(782)
1722830000,1722850000,BINARY(916)
1722832000,1722852000,BINARY(916)
1722838000,1722858000,BINARY(916)
1722836000,1722856000,BINARY(916)
1722834000,1722854000,BINARY(916)
1722840000,1722860000,BINARY(896)
1722842000,1722862000,BINARY(836)
1722844000,1722864000,BINARY(640)
1722846000,1722866000,BINARY(367)
1722850000,1722870000,BINARY(69)
1722848000,1722868000,BINARY(203)
1722852000,1722872000,BINARY(69)
1722854000,1722874000,BINARY(131)
1722856000,1722876000,BINARY(229)
1722858000,1722878000,BINARY(372)
1722860000,1722880000,BINARY(612)
1722862000,1722882000,BINARY(798)
1722864000,1722884000,BINARY(899)
1722870000,1722890000,BINARY(899)
1722868000,1722888000,BINARY(899)
1722874000,1722894000,BINARY(837)
1722876000,1722896000,BINARY(739)
1722872000,1722892000,BINARY(899)
1722880000,1722900000,BINARY(356)
1722878000,1722898000,BINARY(596)
1722866000,1722886000,BINARY(899)
1722882000,1722902000,BINARY(101)
1722896000,1722916000,BINARY(116)
1722898000,1722918000,BINARY(235)
1722900000,1722920000,BINARY(363)
1722902000,1722922000,BINARY(481)
1722904000,1722924000,BINARY(484)
1722906000,1722926000,BINARY(484)
1722908000,1722928000,BINARY(484)
1722910000,1722930000,BINARY(512)
1722912000,1722932000,BINARY(637)
1722914000,1722934000,BINARY(733)
1722920000,1722940000,BINARY(370)
1722918000,1722938000,BINARY(498)
1722916000,1722936000,BINARY(617)
1722924000,1722944000,BINARY(249)
1722922000,1722942000,BINARY(252)
1722926000,1722946000,BINARY(267)
1722928000,1722948000,BINARY(301)
1722930000,1722950000,BINARY(410)
1722932000,1722952000,BINARY(527)
1722934000,1722954000,BINARY(551)
1722936000,1722956000,BINARY(591)
1722938000,1722958000,BINARY(591)
1722940000,1722960000,BINARY(591)
1722942000,1722962000,BINARY(591)
1722944000,1722964000,BINARY(591)
1722946000,1722966000,BINARY(649)
1722948000,1722968000,BINARY(743)
1722950000,1722970000,BINARY(693)
1722954000,1722974000,BINARY(331)
1722952000,1722972000,BINARY(451)
1722960000,1722980000,BINARY(291)
1722958000,1722978000,BINARY(291)
1722964000,1722984000,BINARY(291)
1722962000,1722982000,BINARY(291)
1722966000,1722986000,BINARY(215)
1722968000,1722988000,BINARY(87)
1722956000,1722976000,BINARY(291)
1722984000,1723004000,BINARY(94)
1722986000,1723006000,BINARY(205)
1722988000,1723008000,BINARY(305)
1722990000,1723010000,BINARY(305)
1722994000,1723014000,BINARY(305)
1722992000,1723012000,BINARY(305)
1722996000,1723016000,BINARY(338)
1722998000,1723018000,BINARY(455)
1723000000,1723020000,BINARY(682)
1723002000,1723022000,BINARY(776)
1723006000,1723026000,BINARY(571)
1723008000,1723028000,BINARY(471)
1723004000,1723024000,BINARY(682)
1723010000,1723030000,BINARY(471)
1723012000,1723032000,BINARY(514)
1723014000,1723034000,BINARY(680)
1723016000,1723036000,BINARY(860)
1723018000,1723038000,BINARY(828)
1723020000,1723040000,BINARY(611)
1723024000,1723044000,BINARY(517)
1723026000,1723046000,BINARY(537)
1723022000,1723042000,BINARY(517)
1723028000,1723048000,BINARY(662)
1723030000,1723050000,BINARY(793)
1723032000,1723052000,BINARY(844)
1723034000,1723054000,BINARY(812)
1723036000,1723056000,BINARY(741)
1723038000,1723058000,BINARY(656)
1723040000,1723060000,BINARY(646)
1723042000,1723062000,BINARY(767)
1723044000,1723064000,BINARY(884)
1723046000,1723066000,BINARY(940)
1723048000,1723068000,BINARY(815)
1723052000,1723072000,BINARY(590)
1723050000,1723070000,BINARY(684)
1723056000,1723076000,BINARY(314)
1723060000,1723080000,BINARY(314)
1723054000,1723074000,BINARY(456)
1723058000,1723078000,BINARY(314)
1723064000,1723084000,BINARY(76)
1723062000,1723082000,BINARY(193)
1723082000,1723102000,BINARY(15)
1723084000,1723104000,BINARY(121)
1723086000,1723106000,BINARY(270)
1723088000,1723108000,BINARY(433)
1723090000,1723110000,BINARY(548)
1723094000,1723114000,BINARY(548)
1723092000,1723112000,BINARY(548)
1723096000,1723116000,BINARY(548)
1723098000,1723118000,BINARY(548)
1723100000,1723120000,BINARY(569)
1723102000,1723122000,BINARY(651)
1723104000,1723124000,BINARY(697)
1723106000,1723126000,BINARY(703)
1723108000,1723128000,BINARY(656)
1723110000,1723130000,BINARY(550)
1723112000,1723132000,BINARY(550)
1723116000,1723136000,BINARY(550)
1723114000,1723134000,BINARY(550)
1723118000,1723138000,BINARY(550)
1723120000,1723140000,BINARY(634)
1723122000,1723142000,BINARY(632)
1723124000,1723144000,BINARY(595)
1723126000,1723146000,BINARY(570)
1723128000,1723148000,BINARY(454)
1723130000,1723150000,BINARY(445)
1723132000,1723152000,BINARY(445)
1723136000,1723156000,BINARY(445)
1723134000,1723154000,BINARY(445)
1723140000,1723160000,BINARY(340)
1723138000,1723158000,BINARY(445)
1723144000,1723164000,BINARY(130)
1723142000,1723162000,BINARY(245)
1723150000,1723170000,BINARY(69)
1723152000,1723172000,BINARY(205)
1723154000,1723174000,BINARY(341)
1723156000,1723176000,BINARY(490)
1723158000,1723178000,BINARY(597)
1723160000,1723180000,BINARY(673)
1723162000,1723182000,BINARY(813)
1723164000,1723184000,BINARY(940)
1723166000,1723186000,BINARY(1080)
1723168000,1723188000,BINARY(1208)
1723170000,1723190000,BINARY(1254)
1723172000,1723192000,BINARY(1209)
1723174000,1723194000,BINARY(1156)
1723176000,1723196000,BINARY(1046)
1723178000,1723198000,BINARY(1069)
1723180000,1723200000,BINARY(1129)
1723182000,1723202000,BINARY(1126)
1723184000,1723204000,BINARY(1138)
1723186000,1723206000,BINARY(1143)
1723188000,1723208000,BINARY(1154)
1723190000,1723210000,BINARY(1184)
1723192000,1723212000,BINARY(1193)
1723194000,1723214000,BINARY(1231)
1723196000,1723216000,BINARY(1332)
1723198000,1723218000,BINARY(1335)
1723200000,1723220000,BINARY(1338)
1723202000,1723222000,BINARY(1344)
1723204000,1723224000,BINARY(1342)
1723206000,1723226000,BINARY(1333)
1723208000,1723228000,BINARY(1336)
1723210000,1723230000,BINARY(1324)
1723212000,1723232000,BINARY(1332)
1723214000,1723234000,BINARY(1357)
1723216000,1723236000,BINARY(1333)
1723218000,1723238000,BINARY(1339)
1723220000,1723240000,BINARY(1345)
1723222000,1723242000,BINARY(1295)
1723224000,1723244000,BINARY(1240)
1723226000,1723246000,BINARY(1169)
1723228000,1723248000,BINARY(1057)
1723230000,1723250000,BINARY(1006)
1723232000,1723252000,BINARY(921)
1723238000,1723258000,BINARY(520)
1723236000,1723256000,BINARY(659)
1723234000,1723254000,BINARY(775)
1723240000,1723260000,BINARY(375)
1723242000,1723262000,BINARY(282)
1723246000,1723266000,BINARY(135)
1723244000,1723264000,BINARY(200)
1723248000,1723268000,BINARY(203)
1723250000,1723270000,BINARY(249)
1723252000,1723272000,BINARY(353)
