sncb_stream$device_id:UINT64,sncb_stream$start:UINT64,sncb_stream$end:UINT64,sncb_stream$trajectory:VARSIZED,sncb_stream$avg_speed:FLOAT64,sncb_stream$min_speed:FLOAT64
3,1722502000,1722522000,BINARY(108),48.453735,0.0037
1,1722502000,1722522000,BINARY(86),6.33008,0.0074
4,1722502000,1722522000,BINARY(12),91.665983,57.1502
5,1722502000,1722522000,BINARY(91),41.432642,0.0019
3,1722504000,1722524000,BINARY(225),59.760881,0.0037
1,1722504000,1722524000,BINARY(182),53.702212,0.0056
4,1722504000,1722524000,BINARY(125),89.248922,0.0074
5,1722504000,1722524000,BINARY(213),18.037041,0.0019
3,1722506000,1722526000,BINARY(332),51.636792,0.0037
1,1722506000,1722526000,BINARY(261),65.519979,0.0056
4,1722506000,1722526000,BINARY(226),74.561908,0.0074
5,1722506000,1722526000,BINARY(309),27.483805,0.0
3,1722508000,1722528000,BINARY(440),41.492318,0.0019
1,1722508000,1722528000,BINARY(261),65.519979,0.0056
4,1722508000,1722528000,BINARY(342),78.607855,0.0074
5,1722508000,1722528000,BINARY(445),43.989546,0.0
3,1722510000,1722530000,BINARY(562),50.25352,0.0019
1,1722510000,1722530000,BINARY(261),65.519979,0.0056
4,1722510000,1722530000,BINARY(469),74.264997,0.0074
5,1722510000,1722530000,BINARY(505),42.917135,0.0
3,1722512000,1722532000,BINARY(680),50.458688,0.0019
1,1722512000,1722532000,BINARY(355),71.398082,0.0056
4,1722512000,1722532000,BINARY(533),68.379214,0.0074
5,1722512000,1722532000,BINARY(621),36.923567,0.0
3,1722514000,1722534000,BINARY(801),43.953606,0.0019
1,1722514000,1722534000,BINARY(477),72.139166,0.0056
4,1722514000,1722534000,BINARY(533),68.379214,0.0074
5,1722514000,1722534000,BINARY(749),36.746122,0.0
3,1722516000,1722536000,BINARY(934),44.451658,0.0019
1,1722516000,1722536000,BINARY(522),70.851255,0.0056
4,1722516000,1722536000,BINARY(540),68.378868,0.0074
5,1722516000,1722536000,BINARY(863),40.332541,0.0
3,1722518000,1722538000,BINARY(1031),43.781106,0.0019
1,1722518000,1722538000,BINARY(619),67.748229,0.0056
4,1722518000,1722538000,BINARY(632),64.154605,0.0037
5,1722518000,1722538000,BINARY(994),42.230999,0.0
3,1722520000,1722540000,BINARY(1171),44.262735,0.0019
1,1722520000,1722540000,BINARY(742),66.923393,0.0056
4,1722520000,1722540000,BINARY(697),65.155583,0.0037
5,1722520000,1722540000,BINARY(1105),42.423123,0.0
3,1722522000,1722542000,BINARY(1179),39.530019,0.0019
1,1722522000,1722542000,BINARY(749),75.775449,0.0056
4,1722522000,1722542000,BINARY(794),64.185689,0.0037
5,1722522000,1722542000,BINARY(1144),38.943991,0.0
3,1722524000,1722544000,BINARY(1194),40.94787,0.0019
1,1722524000,1722544000,BINARY(653),72.781617,0.0056
4,1722524000,1722544000,BINARY(784),63.491017,0.0037
5,1722524000,1722544000,BINARY(1084),44.292423,0.0
3,1722526000,1722546000,BINARY(1184),41.394126,0.0019
1,1722526000,1722546000,BINARY(574),70.033944,0.0056
4,1722526000,1722546000,BINARY(734),66.839492,0.0037
5,1722526000,1722546000,BINARY(1108),47.42335,0.0019
3,1722528000,1722548000,BINARY(1210),42.492451,0.0019
1,1722528000,1722548000,BINARY(574),70.033944,0.0056
4,1722528000,1722548000,BINARY(618),63.150958,0.0037
5,1722528000,1722548000,BINARY(1076),38.656645,0.0019
3,1722530000,1722550000,BINARY(1187),40.264859,0.0019
1,1722530000,1722550000,BINARY(574),70.033944,0.0056
4,1722530000,1722550000,BINARY(491),63.301211,0.0037
5,1722530000,1722550000,BINARY(1152),34.289608,0.0019
3,1722532000,1722552000,BINARY(1206),34.791707,0.0019
1,1722532000,1722552000,BINARY(480),66.570582,0.0056
4,1722532000,1722552000,BINARY(427),69.004817,0.0037
5,1722532000,1722552000,BINARY(1170),32.692546,0.0019
3,1722534000,1722554000,BINARY(1202),34.165068,0.0019
1,1722534000,1722554000,BINARY(358),63.938035,0.0074
4,1722534000,1722554000,BINARY(427),69.004817,0.0037
5,1722534000,1722554000,BINARY(1161),28.993739,0.0019
3,1722536000,1722556000,BINARY(1191),29.183691,0.0019
1,1722536000,1722556000,BINARY(313),64.906848,0.0074
4,1722536000,1722556000,BINARY(420),69.015689,0.0037
5,1722536000,1722556000,BINARY(1177),22.41635,0.0019
3,1722538000,1722558000,BINARY(1219),25.545938,0.0
1,1722538000,1722558000,BINARY(216),71.129837,0.0074
4,1722538000,1722558000,BINARY(328),77.333743,0.0074
5,1722538000,1722558000,BINARY(1115),17.233705,0.0019
3,1722540000,1722560000,BINARY(1217),20.090286,0.0
1,1722540000,1722560000,BINARY(93),82.183235,0.0074
4,1722540000,1722560000,BINARY(263),77.938162,0.0074
5,1722540000,1722560000,BINARY(1087),13.172248,0.0019
3,1722542000,1722562000,BINARY(1224),19.971377,0.0
4,1722542000,1722562000,BINARY(154),89.920452,0.0148
5,1722542000,1722562000,BINARY(1007),12.785443,0.0019
3,1722544000,1722564000,BINARY(1212),11.508961,0.0
4,1722544000,1722564000,BINARY(51),97.60991,0.0389
5,1722544000,1722564000,BINARY(992),9.419474,0.0019
3,1722546000,1722566000,BINARY(1244),8.192825,0.0
5,1722546000,1722566000,BINARY(923),0.176989,0.0019
3,1722548000,1722568000,BINARY(1223),10.114533,0.0
5,1722548000,1722568000,BINARY(883),0.037133,0.0019
3,1722550000,1722570000,BINARY(1254),5.866322,0.0
5,1722550000,1722570000,BINARY(795),0.037029,0.0019
3,1722552000,1722572000,BINARY(1247),11.389249,0.0
5,1722552000,1722572000,BINARY(709),0.03683,0.0019
3,1722554000,1722574000,BINARY(1242),15.541363,0.0
